video_id,RU1,RU2,RU3,RU4,RU5,RU6,LU1,LU2,LU3,LU4,LU5,LU6,RD1,RD2,RD3,RD4,RD5,RD6,LD1,LD2,LD3,LD4,LD5,LD6
video027_002.csv,0.33079902,0.435853351,0.536031759,0.536399795,0.549719114,0.361964155,0.292548062,0.410060101,0.514588414,0.522984383,0.51044182,0.292079018,0.428571343,0.57382122,0.525350082,0.4912561,0.46802326,0.05577859,0.43532176,0.548294592,0.48401136,0.43708886,0.386666245,0.031582827
video027_002flip.csv,0.275306663,0.392250174,0.525123232,0.540124688,0.538565591,0.396266607,0.318379878,0.410099995,0.521142836,0.531006313,0.532488352,0.388904625,0.392992724,0.537596898,0.523821078,0.53064022,0.49634932,0.091269045,0.392236343,0.590262582,0.583521285,0.560837993,0.524720046,0.152852818
video027_003.csv,0.083615754,0.235396305,0.659678633,0.666661488,0.675867134,0.509334784,0.05741165,0.222268848,0.64121944,0.652830504,0.648211292,0.489605674,0.210227012,0.442297815,0.503637133,0.454089181,0.410134456,0.074571876,0.135894107,0.458309669,0.471688536,0.433657605,0.388016105,0.059864136
video027_003flip.csv,0.062648881,0.198755728,0.63416977,0.640229624,0.634995902,0.470165894,0.095543566,0.27630285,0.683064276,0.678581648,0.675226472,0.503870492,0.133957582,0.502463131,0.423611618,0.374912296,0.318903759,0.078040398,0.172889051,0.485300533,0.4422209,0.397870955,0.346775853,0.068004168
video028_001.csv,0.216558852,0.564142488,0.731079468,0.738425541,0.735194374,0.600254634,0.158823133,0.544480591,0.786651223,0.792772107,0.79961948,0.646084736,0.133536119,0.393967372,0.429074319,0.416284433,0.406883189,0.169443904,0.107491717,0.489305283,0.498715345,0.47716866,0.472019606,0.176365779
video028_001flip.csv,0.605402152,0.808505406,0.883960722,0.884907094,0.88832507,0.801960199,0.269030344,0.612463503,0.77031098,0.765339124,0.760131668,0.577353842,0.119324025,0.492421436,0.466443006,0.439414695,0.410494674,0.113648883,0.16325569,0.399029276,0.395696861,0.38500242,0.372429336,0.102233232
video028_002.csv,0.181113349,0.570313934,0.718221017,0.710317314,0.712107898,0.55605631,0.167582863,0.571864897,0.74700255,0.76363185,0.78502107,0.54454848,0.152922709,0.382219651,0.373205048,0.382955313,0.388860467,0.171868899,0.133692166,0.459104272,0.418325554,0.42995564,0.433095516,0.155853887
video028_002flip.csv,0.166349823,0.504270151,0.725274164,0.731470693,0.74955724,0.56617867,0.174849233,0.509220861,0.78045114,0.770649884,0.768490161,0.606541571,0.094253541,0.440907311,0.430755777,0.410701119,0.405010501,0.215273446,0.068609406,0.38015633,0.3672698,0.368744732,0.36048105,0.154334654
video028_003.csv,0.092959495,0.48378945,0.748833477,0.750795243,0.742278048,0.509956431,0.115822595,0.496056365,0.802957987,0.806558488,0.800003505,0.52984106,0.10219506,0.369111177,0.317751831,0.315122211,0.299621368,0.075432393,0.101224861,0.4438844,0.377684493,0.359340398,0.356376261,0.083636902
video028_003flip.csv,0.076918699,0.364685412,0.758111953,0.779492667,0.782278339,0.607863469,0.097006162,0.435970473,0.786868562,0.782544491,0.771898002,0.636176223,0.092850389,0.340438402,0.374966646,0.366097184,0.359746468,0.144903965,0.071754389,0.291466635,0.330603963,0.320148602,0.312631614,0.151267045
video028_004.csv,0.072650548,0.450146151,0.735017383,0.726548048,0.722258164,0.543794084,0.19256686,0.465159601,0.801363425,0.7965905,0.799451821,0.624338858,0.073768735,0.295724458,0.369878505,0.380749709,0.369647848,0.116111118,0.049235044,0.356707753,0.454382611,0.445038935,0.429191251,0.101801891
